date_obj,Willow%20shortbow%20(u) price
2015-03-26,8
2015-03-27,8
2015-03-28,8
2015-03-29,8
2015-03-30,8
2015-03-31,8
2015-04-01,8
2015-04-02,8
2015-04-03,8
2015-04-04,8
2015-04-05,8
2015-04-06,8
2015-04-07,8
2015-04-08,8
2015-04-09,8
2015-04-10,8
2015-04-11,8
2015-04-12,8
2015-04-13,8
2015-04-14,8
2015-04-15,8
2015-04-16,8
2015-04-17,8
2015-04-18,8
2015-04-19,8
2015-04-20,8
2015-04-21,8
2015-04-22,8
2015-04-23,8
2015-04-24,8
2015-04-25,8
2015-04-26,8
2015-04-27,8
2015-04-28,8
2015-04-29,8
2015-04-30,8
2015-05-01,8
2015-05-02,8
2015-05-03,8
2015-05-04,8
2015-05-05,8
2015-05-06,8
2015-05-07,8
2015-05-08,8
2015-05-09,8
2015-05-10,8
2015-05-11,8
2015-05-12,8
2015-05-13,8
2015-05-14,8
2015-05-15,8
2015-05-16,8
2015-05-17,8
2015-05-18,8
2015-05-19,8
2015-05-20,8
2015-05-21,8
2015-05-22,8
2015-05-23,8
2015-05-24,8
2015-05-25,8
2015-05-26,8
2015-05-27,8
2015-05-28,8
2015-05-29,8
2015-05-30,8
2015-05-31,8
2015-06-01,8
2015-06-02,8
2015-06-03,8
2015-06-04,8
2015-06-05,8
2015-06-06,8
2015-06-07,8
2015-06-08,8
2015-06-09,8
2015-06-10,8
2015-06-11,8
2015-06-12,8
2015-06-13,8
2015-06-14,8
2015-06-15,7
2015-06-16,7
2015-06-17,7
2015-06-18,7
2015-06-19,6
2015-06-20,6
2015-06-21,6
2015-06-22,6
2015-06-23,5
2015-06-24,5
2015-06-25,6
2015-06-26,6
2015-06-27,6
2015-06-28,6
2015-06-29,6
2015-06-30,6
2015-07-01,6
2015-07-02,6
2015-07-03,6
2015-07-04,6
2015-07-05,6
2015-07-06,6
2015-07-07,6
2015-07-08,6
2015-07-09,6
2015-07-10,6
2015-07-11,6
2015-07-12,6
2015-07-13,7
2015-07-14,7
2015-07-15,8
2015-07-16,8
2015-07-17,8
2015-07-18,8
2015-07-19,8
2015-07-20,8
2015-07-21,8
2015-07-22,8
2015-07-23,8
2015-07-24,8
2015-07-25,8
2015-07-26,8
2015-07-27,8
2015-07-28,8
2015-07-29,8
2015-07-30,8
2015-07-31,8
2015-08-01,8
2015-08-02,8
2015-08-03,8
2015-08-04,8
2015-08-05,8
2015-08-06,8
2015-08-07,8
2015-08-08,8
2015-08-09,8
2015-08-10,8
2015-08-11,8
2015-08-12,8
2015-08-13,8
2015-08-14,8
2015-08-15,8
2015-08-16,8
2015-08-17,8
2015-08-18,8
2015-08-19,8
2015-08-20,8
2015-08-21,9
2015-08-22,9
2015-08-23,9
2015-08-24,9
2015-08-25,9
2015-08-26,9
2015-08-27,8
2015-08-28,8
2015-08-29,7
2015-08-30,7
2015-08-31,7
2015-09-01,7
2015-09-02,7
2015-09-03,7
2015-09-04,7
2015-09-05,7
2015-09-06,7
2015-09-07,7
2015-09-08,7
2015-09-09,7
2015-09-10,7
2015-09-11,7
2015-09-12,7
2015-09-13,7
2015-09-14,8
2015-09-15,8
2015-09-16,8
2015-09-17,8
2015-09-18,8
2015-09-19,8
2015-09-20,8
2015-09-21,8
2015-09-22,8
2015-09-23,8
2015-09-24,8
2015-09-25,8
2015-09-27,8
2015-09-28,8
2015-09-29,8
2015-09-30,8
2015-10-05,8
2015-10-06,8
2015-10-07,8
2015-10-08,8
2015-10-09,8
2015-10-10,8
2015-10-11,8
2015-10-12,8
2015-10-13,8
2015-10-14,8
2015-10-15,8
2015-10-16,8
2015-10-17,8
2015-10-18,8
2015-10-19,8
2015-10-20,8
2015-10-22,8
2015-10-23,8
2015-10-24,9
2015-10-25,9
2015-10-26,9
2015-10-27,9
2015-10-29,9
2015-10-30,9
2015-10-31,8
2015-11-01,8
2015-11-02,9
2015-11-03,9
2015-11-05,9
2015-11-06,9
2015-11-07,9
2015-11-08,9
2015-11-09,9
2015-11-10,8
2015-11-11,8
2015-11-12,9
2015-11-13,9
2015-11-14,9
2015-11-15,9
2015-11-16,9
2015-11-17,9
2015-11-18,8
2015-11-19,8
2015-11-20,8
2015-11-21,8
2015-11-22,8
2015-11-23,8
2015-11-24,8
2015-11-25,8
2015-11-26,8
2015-11-27,8
2015-11-28,8
2015-11-29,8
2015-11-30,8
2015-12-01,8
2015-12-02,8
2015-12-03,8
2015-12-04,8
2015-12-05,8
2015-12-06,8
2015-12-07,8
2015-12-08,8
2015-12-09,8
2015-12-10,8
2015-12-11,8
2015-12-13,8
2015-12-14,8
2015-12-15,9
2015-12-16,9
2015-12-17,9
2015-12-18,9
2015-12-19,10
2015-12-20,10
2015-12-21,9
2015-12-22,9
2015-12-23,8
2015-12-24,8
2015-12-25,7
2015-12-26,7
2015-12-27,7
2015-12-28,7
2015-12-29,7
2015-12-30,7
2015-12-31,7
2016-01-01,7
2016-01-02,8
2016-01-03,8
2016-01-04,8
2016-01-05,8
2016-01-06,8
2016-01-07,8
2016-01-08,8
2016-01-09,8
2016-01-10,8
2016-01-11,8
2016-01-12,8
2016-01-13,8
2016-01-14,8
2016-01-15,8
2016-01-16,8
2016-01-17,8
2016-01-18,7
2016-01-19,7
2016-01-20,7
2016-01-21,7
2016-01-22,7
2016-01-23,7
2016-01-24,7
2016-01-25,7
2016-01-26,7
2016-01-27,7
2016-01-28,7
2016-01-29,7
2016-01-30,7
2016-01-31,7
2016-02-01,7
2016-02-02,8
2016-02-03,8
2016-02-04,8
2016-02-05,8
2016-02-06,8
2016-02-07,8
2016-02-08,9
2016-02-09,9
2016-02-10,8
2016-02-11,8
2016-02-12,8
2016-02-13,7
2016-02-14,7
2016-02-15,7
2016-02-16,7
2016-02-17,8
2016-02-18,8
2016-02-19,8
2016-02-20,8
2016-02-21,8
2016-02-22,8
2016-02-23,8
2016-02-24,8
2016-02-25,8
2016-02-26,8
2016-02-27,8
2016-02-28,8
2016-02-29,8
2016-03-01,8
2016-03-02,8
2016-03-03,8
2016-03-04,8
2016-03-05,8
2016-03-06,8
2016-03-07,8
2016-03-08,8
2016-03-09,8
2016-03-10,8
2016-03-11,8
2016-03-12,8
2016-03-13,8
2016-03-14,8
2016-03-15,8
2016-03-16,8
2016-03-17,8
2016-03-18,8
2016-03-19,8
2016-03-20,8
