date_obj,Oak%20blackjack(d) price
2015-03-05,300
2015-03-06,300
2015-03-07,300
2015-03-08,300
2015-03-09,300
2015-03-10,300
2015-03-11,300
2015-03-12,300
2015-03-13,300
2015-03-14,300
2015-03-15,300
2015-03-16,300
2015-03-17,300
2015-03-18,300
2015-03-19,300
2015-03-20,300
2015-03-21,300
2015-03-22,300
2015-03-23,300
2015-03-24,300
2015-03-25,300
2015-03-26,300
2015-03-27,300
2015-03-28,300
2015-03-29,300
2015-03-30,300
2015-03-31,300
2015-04-01,300
2015-04-02,300
2015-04-03,300
2015-04-04,300
2015-04-05,300
2015-04-06,300
2015-04-07,300
2015-04-08,300
2015-04-09,300
2015-04-10,300
2015-04-11,300
2015-04-12,300
2015-04-13,300
2015-04-14,300
2015-04-15,300
2015-04-16,300
2015-04-17,300
2015-04-18,300
2015-04-19,300
2015-04-20,300
2015-04-21,300
2015-04-22,300
2015-04-23,300
2015-04-24,300
2015-04-25,300
2015-04-26,300
2015-04-27,300
2015-04-28,300
2015-04-29,300
2015-04-30,300
2015-05-01,300
2015-05-02,300
2015-05-03,300
2015-05-04,300
2015-05-05,300
2015-05-06,300
2015-05-07,300
2015-05-08,300
2015-05-09,300
2015-05-10,300
2015-05-11,300
2015-05-12,300
2015-05-13,300
2015-05-14,300
2015-05-15,300
2015-05-16,300
2015-05-17,300
2015-05-18,300
2015-05-19,300
2015-05-20,300
2015-05-21,300
2015-05-22,300
2015-05-23,300
2015-05-24,300
2015-05-25,300
2015-05-26,300
2015-05-27,300
2015-05-28,300
2015-05-29,300
2015-05-30,300
2015-05-31,300
2015-06-01,300
2015-06-02,300
2015-06-03,300
2015-06-04,300
2015-06-05,300
2015-06-06,300
2015-06-07,300
2015-06-08,300
2015-06-09,300
2015-06-10,300
2015-06-11,300
2015-06-12,300
2015-06-13,300
2015-06-14,300
2015-06-15,300
2015-06-16,300
2015-06-17,300
2015-06-18,300
2015-06-19,300
2015-06-20,300
2015-06-21,300
2015-06-22,300
2015-06-23,300
2015-06-24,300
2015-06-25,300
2015-06-26,300
2015-06-27,300
2015-06-28,300
2015-06-29,300
2015-06-30,300
2015-07-01,300
2015-07-02,300
2015-07-03,300
2015-07-04,300
2015-07-05,300
2015-07-06,300
2015-07-07,300
2015-07-08,300
2015-07-09,300
2015-07-10,300
2015-07-11,300
2015-07-12,300
2015-07-13,300
2015-07-14,300
2015-07-15,300
2015-07-16,300
2015-07-17,300
2015-07-18,300
2015-07-19,300
2015-07-20,300
2015-07-21,300
2015-07-22,300
2015-07-23,300
2015-07-24,300
2015-07-25,300
2015-07-26,300
2015-07-27,300
2015-07-28,300
2015-07-29,300
2015-07-30,300
2015-07-31,300
2015-08-01,300
2015-08-02,300
2015-08-03,300
2015-08-04,300
2015-08-05,300
2015-08-06,300
2015-08-07,300
2015-08-08,300
2015-08-09,300
2015-08-10,300
2015-08-11,300
2015-08-12,300
2015-08-13,300
2015-08-14,300
2015-08-15,300
2015-08-16,300
2015-08-17,300
2015-08-18,300
2015-08-19,300
2015-08-20,300
2015-08-21,300
2015-08-22,300
2015-08-23,300
2015-08-24,300
2015-08-25,300
2015-08-26,300
2015-08-27,300
2015-08-28,300
2015-08-29,300
2015-08-30,300
2015-08-31,300
2015-09-02,300
2015-09-07,300
2015-09-08,300
2015-09-10,300
2015-09-14,300
2015-09-16,300
2015-09-22,300
2015-09-23,300
2015-09-24,300
2015-09-25,300
2015-09-27,300
2015-09-28,300
2015-09-29,300
2015-09-30,300
2015-10-05,300
2015-10-06,300
2015-10-07,300
2015-10-08,300
2015-10-09,300
2015-10-10,300
2015-10-11,300
2015-10-12,300
2015-10-13,300
2015-10-14,300
2015-10-15,300
2015-10-16,300
2015-10-17,300
2015-10-18,300
2015-10-19,300
2015-10-20,300
2015-10-22,300
2015-10-23,300
2015-10-24,300
2015-10-25,300
2015-10-26,300
2015-10-27,300
2015-10-29,300
2015-10-30,300
2015-10-31,300
2015-11-01,300
2015-11-02,300
2015-11-03,300
2015-11-04,300
2015-11-05,300
2015-11-06,300
2015-11-07,300
2015-11-08,300
2015-11-09,300
2015-11-10,300
2015-11-11,300
2015-11-12,300
2015-11-13,300
2015-11-14,300
2015-11-15,300
2015-11-16,300
2015-11-17,300
2015-11-18,300
2015-11-19,300
2015-11-20,300
2015-11-21,300
2015-11-22,300
2015-11-23,300
2015-11-24,300
2015-11-25,300
2015-11-26,300
2015-11-27,300
2015-11-28,300
2015-11-29,300
2015-11-30,300
2015-12-01,300
2015-12-02,300
2015-12-03,300
2015-12-04,300
2015-12-05,300
2015-12-06,300
2015-12-07,300
2015-12-08,300
2015-12-09,300
2015-12-10,300
