date_obj,Bronze%20sword price
2015-03-26,20
2015-03-27,20
2015-03-28,19
2015-03-29,19
2015-03-30,19
2015-03-31,19
2015-04-01,19
2015-04-02,19
2015-04-03,18
2015-04-04,18
2015-04-05,18
2015-04-06,18
2015-04-07,18
2015-04-08,19
2015-04-09,19
2015-04-10,20
2015-04-11,20
2015-04-12,20
2015-04-13,20
2015-04-14,20
2015-04-15,20
2015-04-16,19
2015-04-17,19
2015-04-18,18
2015-04-19,18
2015-04-20,18
2015-04-21,18
2015-04-22,18
2015-04-23,18
2015-04-24,18
2015-04-25,18
2015-04-26,18
2015-04-27,18
2015-04-28,18
2015-04-29,18
2015-04-30,18
2015-05-01,18
2015-05-02,18
2015-05-03,18
2015-05-04,18
2015-05-05,18
2015-05-06,18
2015-05-07,18
2015-05-08,18
2015-05-09,18
2015-05-10,18
2015-05-11,18
2015-05-12,18
2015-05-13,18
2015-05-14,17
2015-05-15,17
2015-05-16,17
2015-05-17,17
2015-05-18,17
2015-05-19,17
2015-05-20,16
2015-05-21,16
2015-05-22,16
2015-05-23,16
2015-05-24,16
2015-05-25,16
2015-05-26,16
2015-05-27,17
2015-05-28,18
2015-05-29,19
2015-05-30,19
2015-05-31,19
2015-06-01,19
2015-06-02,19
2015-06-03,19
2015-06-04,19
2015-06-05,20
2015-06-06,20
2015-06-07,19
2015-06-08,18
2015-06-09,18
2015-06-10,19
2015-06-11,19
2015-06-12,20
2015-06-13,20
2015-06-14,20
2015-06-15,20
2015-06-16,20
2015-06-17,19
2015-06-18,19
2015-06-19,18
2015-06-20,18
2015-06-21,18
2015-06-22,18
2015-06-23,18
2015-06-24,18
2015-06-25,18
2015-06-26,18
2015-06-27,18
2015-06-28,18
2015-06-29,17
2015-06-30,18
2015-07-01,18
2015-07-02,18
2015-07-03,18
2015-07-04,18
2015-07-05,18
2015-07-06,18
2015-07-07,18
2015-07-08,18
2015-07-09,18
2015-07-10,18
2015-07-11,18
2015-07-12,18
2015-07-13,17
2015-07-14,18
2015-07-15,18
2015-07-16,18
2015-07-17,18
2015-07-18,18
2015-07-19,18
2015-07-20,19
2015-07-21,20
2015-07-22,19
2015-07-23,19
2015-07-24,18
2015-07-25,18
2015-07-26,18
2015-07-27,18
2015-07-28,18
2015-07-29,17
2015-07-30,16
2015-07-31,16
2015-08-01,16
2015-08-02,16
2015-08-03,17
2015-08-04,17
2015-08-05,17
2015-08-06,18
2015-08-07,18
2015-08-08,19
2015-08-09,19
2015-08-10,20
2015-08-11,20
2015-08-12,20
2015-08-13,20
2015-08-14,20
2015-08-15,20
2015-08-16,21
2015-08-17,20
2015-08-18,19
2015-08-19,18
2015-08-20,18
2015-08-21,18
2015-08-22,17
2015-08-23,16
2015-08-24,15
2015-08-25,15
2015-08-26,14
2015-08-27,13
2015-08-28,13
2015-08-29,13
2015-08-30,13
2015-08-31,13
2015-09-01,14
2015-09-02,14
2015-09-03,14
2015-09-04,14
2015-09-05,14
2015-09-06,14
2015-09-07,13
2015-09-08,12
2015-09-09,12
2015-09-10,12
2015-09-11,12
2015-09-12,12
2015-09-13,12
2015-09-14,12
2015-09-15,11
2015-09-16,11
2015-09-17,10
2015-09-18,10
2015-09-19,9
2015-09-20,9
2015-09-21,9
2015-09-22,8
2015-09-23,8
2015-09-24,8
2015-09-25,8
2015-09-27,9
2015-09-28,10
2015-09-29,10
2015-09-30,11
