date_obj,Unfired%20pot%20lid price
2015-03-04,80
2015-03-05,80
2015-03-06,80
2015-03-07,80
2015-03-08,80
2015-03-09,80
2015-03-10,80
2015-03-11,80
2015-03-12,80
2015-03-13,80
2015-03-14,80
2015-03-15,80
2015-03-16,80
2015-03-17,80
2015-03-18,80
2015-03-19,80
2015-03-20,80
2015-03-21,80
2015-03-22,80
2015-03-23,80
2015-03-24,80
2015-03-25,80
2015-03-26,80
2015-03-27,80
2015-03-28,80
2015-03-29,80
2015-03-30,80
2015-03-31,80
2015-04-01,80
2015-04-02,80
2015-04-03,80
2015-04-04,80
2015-04-05,80
2015-04-06,80
2015-04-07,80
2015-04-08,80
2015-04-09,80
2015-04-10,80
2015-04-11,80
2015-04-12,80
2015-04-13,80
2015-04-14,80
2015-04-15,80
2015-04-16,80
2015-04-17,78
2015-04-18,78
2015-04-19,78
2015-04-20,78
2015-04-21,78
2015-04-22,78
2015-04-23,78
2015-04-24,78
2015-04-25,78
2015-04-26,78
2015-04-27,78
2015-04-28,78
2015-04-29,78
2015-04-30,78
2015-05-01,78
2015-05-02,78
2015-05-03,78
2015-05-04,78
2015-05-05,78
2015-05-06,78
2015-05-07,78
2015-05-08,78
2015-05-09,78
2015-05-10,78
2015-05-11,78
2015-05-12,78
2015-05-13,78
2015-05-14,78
2015-05-15,78
2015-05-16,78
2015-05-17,78
2015-05-18,78
2015-05-19,78
2015-05-20,78
2015-05-21,78
2015-05-22,78
2015-05-23,78
2015-05-24,78
2015-05-25,78
2015-05-26,78
2015-05-27,78
2015-05-28,78
2015-05-29,78
2015-05-30,78
2015-05-31,78
2015-06-01,78
2015-06-02,78
2015-06-03,80
2015-06-04,80
2015-06-05,80
2015-06-06,80
2015-06-07,80
2015-06-08,80
2015-06-09,80
2015-06-10,80
2015-06-11,80
2015-06-12,80
2015-06-13,80
2015-06-14,80
2015-06-15,80
2015-06-16,80
2015-06-17,80
2015-06-18,80
2015-06-19,80
2015-06-20,80
2015-06-21,80
2015-06-22,80
2015-06-23,80
2015-06-24,80
2015-06-25,80
2015-06-26,80
2015-06-27,80
2015-06-28,80
2015-06-29,80
2015-06-30,80
2015-07-01,80
2015-07-02,80
2015-07-03,80
2015-07-04,80
2015-07-05,80
2015-07-06,80
2015-07-07,80
2015-07-08,83
2015-07-09,83
2015-07-10,83
2015-07-11,83
2015-07-12,83
2015-07-13,83
2015-07-14,83
2015-07-15,83
2015-07-16,83
2015-07-17,83
2015-07-18,83
2015-07-19,83
2015-07-20,83
2015-07-21,83
2015-07-22,83
2015-07-23,83
2015-07-24,83
2015-07-25,83
2015-07-26,83
2015-07-27,83
2015-07-28,83
2015-07-29,83
2015-07-30,83
2015-07-31,83
2015-08-01,83
2015-08-02,83
2015-08-03,83
2015-08-04,83
2015-08-05,83
2015-08-06,83
2015-08-07,83
2015-08-08,83
2015-08-09,83
2015-08-10,83
2015-08-11,83
2015-08-12,83
2015-08-13,83
2015-08-14,83
2015-08-15,83
2015-08-16,83
2015-08-17,83
2015-08-18,83
2015-08-19,83
2015-08-20,83
2015-08-21,83
2015-08-22,83
2015-08-23,83
2015-08-24,83
2015-08-25,83
2015-08-26,83
2015-08-27,83
2015-08-28,83
2015-08-29,83
2015-08-30,83
2015-09-02,87
2015-09-07,87
2015-09-08,87
2015-09-10,87
2015-09-14,87
2015-09-16,87
2015-09-22,87
2015-09-23,87
2015-09-24,87
2015-09-25,87
2015-09-27,87
2015-09-28,87
2015-09-29,87
2015-09-30,87
2015-10-05,87
2015-10-06,87
2015-10-07,87
2015-10-08,87
2015-10-09,87
2015-10-10,87
2015-10-11,87
2015-10-12,87
2015-10-13,87
2015-10-14,87
2015-10-15,87
2015-10-16,87
2015-10-17,87
2015-10-18,87
2015-10-19,87
2015-10-20,87
2015-10-22,87
2015-10-23,87
2015-10-24,87
2015-10-25,87
2015-10-26,87
2015-10-27,87
2015-10-29,87
2015-10-30,87
2015-10-31,87
2015-11-01,87
2015-11-02,87
2015-11-03,87
2015-11-04,87
2015-11-05,87
2015-11-06,87
2015-11-07,87
2015-11-08,87
2015-11-09,87
2015-11-10,87
2015-11-11,87
2015-11-12,87
2015-11-13,87
2015-11-14,87
2015-11-15,87
2015-11-16,87
2015-11-17,87
2015-11-18,87
2015-11-19,87
2015-11-20,87
2015-11-21,87
2015-11-22,87
2015-11-23,87
2015-11-24,87
2015-11-25,87
2015-11-26,87
2015-11-27,87
2015-11-28,87
2015-11-29,87
2015-11-30,87
2015-12-01,87
2015-12-02,87
2015-12-03,87
2015-12-04,87
2015-12-05,87
2015-12-06,87
2015-12-07,87
2015-12-08,87
2015-12-09,87
2015-12-10,89
2015-12-11,89
2015-12-13,89
2015-12-14,89
2015-12-15,89
2015-12-16,89
2015-12-17,89
2015-12-18,89
2015-12-19,89
2015-12-20,89
2015-12-21,89
2015-12-22,89
2015-12-23,89
2015-12-24,89
2015-12-25,89
2015-12-26,89
2015-12-27,89
2015-12-28,89
2015-12-29,89
2015-12-30,89
2015-12-31,89
2016-01-01,89
2016-01-02,89
2016-01-03,89
2016-01-04,89
2016-01-05,89
2016-01-06,89
2016-01-07,89
2016-01-08,89
2016-01-09,89
2016-01-10,89
2016-01-11,89
2016-01-12,89
2016-01-13,89
2016-01-14,89
2016-01-15,89
2016-01-16,89
2016-01-17,89
2016-01-18,89
2016-01-19,89
2016-01-20,89
2016-01-21,89
2016-01-22,89
2016-01-23,89
2016-01-24,89
2016-01-25,89
2016-01-26,89
2016-01-27,89
2016-01-28,89
2016-01-29,89
2016-01-30,89
2016-01-31,89
2016-02-01,89
2016-02-02,89
2016-02-03,89
2016-02-04,89
2016-02-05,89
2016-02-06,89
2016-02-07,89
2016-02-08,89
2016-02-09,89
2016-02-10,89
2016-02-11,89
2016-02-12,89
2016-02-13,89
2016-02-14,89
2016-02-15,89
2016-02-16,89
2016-02-17,89
2016-02-18,89
2016-02-19,89
2016-02-20,89
2016-02-21,89
2016-02-22,89
2016-02-23,89
2016-02-24,89
2016-02-25,89
2016-02-26,89
2016-02-27,89
2016-02-28,89
2016-02-29,89
2016-03-01,89
2016-03-02,89
2016-03-03,89
2016-03-04,89
2016-03-05,89
2016-03-06,89
2016-03-07,89
2016-03-08,89
2016-03-09,89
2016-03-10,89
2016-03-11,89
2016-03-12,89
2016-03-13,89
2016-03-14,89
2016-03-15,89
2016-03-16,89
2016-03-17,89
2016-03-18,89
2016-03-19,89
2016-03-20,89
2016-03-21,89
2016-03-22,89
2016-03-23,89
2016-03-24,89
2016-03-25,89
2016-03-26,89
2016-03-27,89
2016-03-28,89
2016-03-29,89
2016-03-30,89
2016-03-31,89
2016-04-01,89
2016-04-02,89
2016-04-03,89
2016-04-04,89
2016-04-05,89
2016-04-06,92
2016-04-07,92
2016-04-08,92
2016-04-09,92
2016-04-10,92
2016-04-11,92
2016-04-12,92
2016-04-13,92
2016-04-14,92
2016-04-15,92
2016-04-16,92
2016-04-17,92
2016-04-18,92
2016-04-19,92
2016-04-20,92
2016-04-21,92
2016-04-22,92
2016-04-23,92
2016-04-24,92
2016-04-25,92
2016-04-26,92
2016-04-27,92
2016-04-28,92
2016-04-29,92
2016-04-30,92
2016-05-01,92
2016-05-02,92
2016-05-03,92
2016-05-04,92
2016-05-05,92
2016-05-06,92
2016-05-07,92
2016-05-08,92
2016-05-09,92
2016-05-10,92
2016-05-11,92
2016-05-12,92
2016-05-13,92
2016-05-14,92
2016-05-15,92
2016-05-16,92
2016-05-17,92
2016-05-18,92
2016-05-19,92
2016-05-22,92
2016-05-23,92
2016-05-24,92
2016-05-25,92
2016-05-26,92
2016-05-27,92
2016-05-28,92
2016-05-29,92
2016-05-30,92
2016-05-31,92
2016-06-01,92
2016-06-02,92
2016-06-03,92
2016-06-04,92
2016-06-05,92
2016-06-06,92
2016-06-07,92
2016-06-08,92
2016-06-09,92
2016-06-10,92
2016-06-11,92
2016-06-12,92
2016-06-13,92
2016-06-14,92
2016-06-15,96
2016-06-16,96
2016-06-17,96
2016-06-18,96
2016-06-19,96
2016-06-20,96
2016-06-21,96
2016-06-22,96
2016-06-23,96
2016-06-24,96
2016-06-25,96
2016-06-26,96
2016-06-27,96
2016-06-28,96
2016-06-29,96
2016-06-30,96
2016-07-01,96
2016-07-02,96
2016-07-03,96
2016-07-04,96
2016-07-05,96
2016-07-06,96
2016-07-07,96
2016-07-08,96
2016-07-09,96
2016-07-10,96
2016-07-11,96
2016-07-12,96
2016-07-13,96
2016-07-14,96
2016-07-15,96
2016-07-16,96
2016-07-17,96
2016-07-18,96
2016-07-24,96
2016-07-25,96
2016-07-26,96
2016-07-27,96
2016-07-28,96
2016-07-29,96
2016-07-30,96
2016-07-31,96
2016-08-01,96
2016-08-02,96
2016-08-03,96
2016-08-04,96
2016-08-05,96
2016-08-06,96
2016-08-07,96
2016-08-08,96
2016-08-09,96
2016-08-10,96
2016-08-11,96
2016-08-12,96
2016-08-13,96
2016-08-14,96
2016-08-15,96
2016-08-16,96
2016-08-17,96
2016-08-18,96
2016-08-19,96
2016-08-20,96
2016-08-21,96
2016-08-22,96
2016-08-23,96
2016-08-24,96
2016-08-25,96
2016-08-26,96
2016-08-28,96
2016-08-31,96
2016-09-01,96
2016-09-02,96
2016-09-03,96
2016-09-04,96
2016-09-05,96
2016-09-06,96
2016-09-07,96
2016-09-08,96
2016-09-09,96
2016-09-10,96
2016-09-11,96
2016-09-12,96
2016-09-13,96
2016-09-14,96
2016-09-15,96
2016-09-16,96
2016-09-17,96
2016-09-18,96
2016-09-19,96
2016-09-20,96
2016-09-21,96
2016-09-22,96
2016-09-23,96
2016-09-24,96
2016-09-25,96
2016-09-26,96
2016-09-27,96
2016-09-28,96
2016-09-29,96
2016-09-30,96
2016-10-01,96
2016-10-02,96
2016-10-03,96
2016-10-04,96
2016-10-05,96
2016-10-06,96
2016-10-07,96
2016-10-08,96
2016-10-09,96
2016-10-10,96
2016-10-11,96
2016-10-12,96
2016-10-13,96
2016-10-14,96
2016-10-15,96
2016-10-16,96
2016-10-17,96
2016-10-18,96
2016-10-19,96
2016-10-20,96
2016-10-21,96
2016-10-22,96
2016-10-23,96
2016-10-24,96
2016-10-25,96
2016-10-26,96
2016-10-27,96
2016-10-28,97
2016-10-29,97
2016-10-30,97
2016-10-31,97
2016-11-01,97
2016-11-02,97
2016-11-03,97
2016-11-04,97
2016-11-05,97
2016-11-06,97
2016-11-07,97
2016-11-08,97
2016-11-09,97
2016-11-10,97
2016-11-11,97
2016-11-12,97
2016-11-13,97
2016-11-14,97
2016-12-08,97
2016-12-09,97
2016-12-10,97
2016-12-11,97
2016-12-12,97
2016-12-13,97
2016-12-14,97
2016-12-15,97
2016-12-16,97
2016-12-17,97
2016-12-18,97
2016-12-19,97
2016-12-20,97
2016-12-21,97
2016-12-22,97
2016-12-23,97
2016-12-24,97
2016-12-25,97
2016-12-26,97
2016-12-27,97
2016-12-28,97
2016-12-29,97
2016-12-30,97
2016-12-31,97
2017-01-01,97
2017-01-02,99
2017-01-03,99
2017-01-04,99
2017-01-05,99
2017-01-06,99
2017-01-07,99
2017-01-08,99
2017-01-09,99
2017-01-10,99
2017-01-11,99
2017-01-12,99
2017-01-13,99
2017-01-14,99
2017-01-15,99
2017-01-16,99
2017-01-17,99
2017-01-18,99
2017-01-19,99
2017-01-20,99
2017-01-21,99
2017-01-22,99
2017-01-27,99
2017-01-28,99
2017-01-29,99
2017-01-30,99
2017-01-31,99
2017-02-01,99
2017-02-02,99
2017-02-03,99
2017-02-04,99
2017-02-05,99
2017-02-06,99
2017-02-07,99
2017-02-08,99
2017-02-09,99
2017-02-10,99
2017-02-11,99
2017-02-12,99
2017-02-13,99
2017-02-14,99
2017-02-15,99
2017-02-16,99
2017-02-18,99
2017-02-19,99
2017-02-20,99
2017-02-21,99
2017-02-22,99
2017-02-23,99
2017-02-24,99
2017-02-25,99
2017-02-26,99
2017-02-27,99
2017-02-28,99
2017-03-01,99
2017-03-02,99
2017-03-03,99
2017-03-04,99
2017-03-05,99
2017-03-06,99
2017-03-07,99
2017-03-08,99
2017-03-09,99
2017-03-10,99
2017-03-11,99
2017-03-12,99
2017-03-13,99
2017-03-14,99
2017-03-15,99
2017-03-16,99
2017-03-17,99
2017-03-18,99
2017-03-19,99
2017-03-20,99
2017-03-21,99
2017-03-22,99
2017-03-23,99
2017-03-24,101
2017-03-25,101
2017-03-26,101
2017-03-27,101
2017-03-28,101
2017-03-29,101
2017-03-30,101
2017-03-31,101
2017-04-01,101
2017-04-02,101
2017-04-03,101
2017-04-04,101
2017-04-12,101
2017-04-13,101
2017-04-14,101
2017-04-15,101
2017-04-16,101
2017-04-17,101
2017-04-18,101
2017-04-19,101
2017-04-20,101
2017-04-21,101
2017-04-22,101
2017-04-23,101
2017-04-24,101
2017-04-25,101
2017-04-26,101
2017-04-27,101
2017-04-28,101
2017-04-29,101
2017-04-30,101
2017-05-01,101
2017-05-02,101
2017-05-03,101
2017-05-04,101
2017-05-05,101
2017-05-06,101
2017-05-07,100
2017-05-08,100
2017-05-09,100
2017-05-10,100
2017-05-11,100
2017-05-12,100
2017-05-13,100
2017-05-14,100
2017-05-15,100
2017-05-16,100
2017-05-17,100
2017-05-18,100
2017-05-19,100
2017-05-20,100
2017-05-21,100
2017-05-22,100
2017-05-23,100
2017-05-24,100
2017-05-25,100
2017-05-26,100
2017-05-27,100
2017-05-28,100
2017-05-29,100
2017-05-30,100
2017-05-31,100
2017-06-01,100
2017-06-02,100
2017-06-03,100
2017-06-06,100
2017-06-07,100
2017-06-08,100
2017-06-09,100
2017-06-10,100
2017-06-11,100
2017-06-12,100
2017-06-13,100
2017-06-14,102
2017-06-15,102
2017-06-16,102
2017-06-17,102
2017-06-18,102
2017-06-19,102
2017-06-20,102
2017-06-21,102
2017-06-22,102
2017-06-23,102
2017-06-24,102
2017-06-25,102
2017-06-26,102
2017-06-27,102
2017-06-28,102
2017-06-29,102
2017-06-30,102
2017-07-01,102
2017-07-02,102
2017-07-03,102
2017-07-04,102
2017-07-05,102
2017-07-06,102
2017-07-07,102
2017-07-08,102
2017-07-13,102
2017-07-14,102
2017-07-15,102
2017-07-16,102
2017-07-17,102
2017-07-18,102
2017-07-19,102
2017-07-20,102
2017-07-21,102
2017-07-22,102
2017-07-23,102
2017-07-24,102
2017-07-25,102
2017-07-26,102
2017-07-27,102
2017-07-28,102
2017-07-29,102
2017-07-30,102
2017-07-31,102
2017-08-01,102
2017-08-02,102
2017-08-03,102
2017-08-04,102
2017-08-05,102
2017-08-06,102
2017-08-09,102
2017-08-10,102
2017-08-11,102
2017-08-12,102
2017-08-13,102
2017-08-14,102
2017-08-15,102
2017-08-16,102
2017-08-17,102
2017-08-18,102
2017-08-19,102
2017-08-20,102
2017-08-21,102
2017-08-22,102
2017-08-23,102
2017-08-24,102
2017-08-25,102
2017-08-26,102
2017-08-27,102
2017-08-28,102
2017-08-29,102
2017-08-30,102
2017-08-31,102
2017-09-01,102
2017-09-02,102
2017-09-03,102
2017-09-04,102
2017-09-05,102
2017-09-06,103
2017-09-07,103
2017-09-08,103
2017-09-09,103
2017-09-10,103
2017-09-11,103
2017-09-12,103
2017-09-13,103
2017-09-14,103
2017-09-15,103
2017-09-16,103
2017-09-17,103
2017-09-19,103
2017-09-20,103
2017-09-21,103
2017-09-22,103
2017-09-23,103
2017-09-24,103
2017-09-25,103
2017-09-26,103
2017-09-27,103
2017-09-28,103
2017-09-29,103
2017-09-30,103
2017-10-01,103
2017-10-02,103
2017-10-03,103
2017-10-04,103
2017-10-05,103
2017-10-06,103
2017-10-07,103
2017-10-08,103
2017-10-09,103
2017-10-10,103
2017-10-11,103
2017-10-12,103
2017-10-13,103
2017-10-14,103
2017-10-15,103
2017-10-16,103
2017-10-17,103
2017-10-18,103
2017-10-19,103
2017-10-20,103
2017-10-21,103
2017-10-22,103
2017-10-23,103
2017-10-24,103
2017-10-25,103
2017-10-26,103
2017-10-27,103
2017-10-28,103
2017-10-29,103
2017-10-30,103
2017-10-31,103
2017-11-01,103
2017-11-02,103
2017-11-03,103
2017-11-04,103
2017-11-05,103
2017-11-06,103
2017-11-07,103
2017-11-08,103
2017-11-09,103
2017-11-10,103
2017-11-11,103
2017-11-12,103
2017-11-13,103
2017-11-14,103
2017-11-15,103
2017-11-16,103
2017-11-17,103
2017-11-18,103
2017-11-19,103
2017-11-20,103
2017-11-21,103
2017-11-22,103
2017-11-23,103
2017-11-24,103
2017-11-25,103
2017-11-26,104
2017-11-27,104
2017-11-28,104
2017-11-29,104
2017-11-30,104
2017-12-01,104
2017-12-02,104
2017-12-03,104
2017-12-04,104
2017-12-05,104
2017-12-06,104
2017-12-07,104
2017-12-08,104
2017-12-09,104
2017-12-10,104
2017-12-11,104
2017-12-12,104
2017-12-13,104
2017-12-14,104
2017-12-15,104
2017-12-16,104
2017-12-17,104
2017-12-18,104
2017-12-19,104
2017-12-20,104
2017-12-21,104
2017-12-22,104
2017-12-23,104
2017-12-24,104
2017-12-25,104
2017-12-26,104
2017-12-27,104
2017-12-28,104
2017-12-29,104
2017-12-30,104
2017-12-31,104
2018-01-01,104
2018-01-02,104
2018-01-03,104
2018-01-04,104
2018-01-05,103
2018-01-06,103
2018-01-07,103
2018-01-08,103
2018-01-09,103
2018-01-10,103
2018-01-11,103
2018-01-12,103
2018-01-13,103
2018-01-14,103
2018-01-15,103
2018-01-16,103
2018-01-17,103
2018-01-18,103
2018-01-19,103
2018-01-20,103
2018-01-21,103
2018-01-22,103
2018-01-23,103
2018-01-24,103
2018-01-25,103
2018-01-26,103
2018-01-27,103
2018-01-28,103
2018-01-29,103
2018-01-30,103
2018-02-01,103
2018-02-02,103
2018-02-03,103
2018-02-04,103
2018-02-05,103
2018-02-06,103
2018-02-07,103
2018-02-08,103
2018-02-09,103
2018-02-10,106
2018-02-11,106
2018-02-12,106
2018-02-13,106
2018-02-14,106
2018-02-15,106
2018-02-16,106
2018-02-17,106
2018-02-18,106
2018-02-19,106
2018-02-20,106
2018-02-21,106
2018-02-22,106
2018-02-23,106
2018-02-24,106
2018-02-25,106
2018-02-26,106
2018-02-27,106
2018-02-28,106
2018-03-01,106
2018-03-02,106
2018-03-03,106
2018-03-04,106
2018-03-05,106
2018-03-06,106
2018-03-07,106
2018-03-08,106
2018-03-09,106
2018-03-10,106
2018-03-11,106
2018-03-12,106
2018-03-13,106
2018-03-14,106
2018-03-15,106
2018-03-16,106
2018-03-17,106
2018-03-18,106
2018-03-19,106
2018-03-20,106
2018-03-21,106
2018-03-23,106
2018-03-24,106
2018-03-26,106
2018-03-27,106
2018-03-28,106
2018-03-29,106
2018-03-30,106
2018-03-31,106
2018-04-01,106
2018-04-02,106
2018-04-03,106
2018-04-04,106
2018-04-05,106
2018-04-06,106
2018-04-08,106
2018-04-09,106
2018-04-10,106
2018-04-11,106
2018-04-12,106
2018-04-13,106
2018-04-14,108
2018-04-16,108
2018-04-17,108
2018-04-18,108
2018-04-19,108
2018-04-20,108
2018-04-21,108
2018-04-22,108
2018-04-23,108
2018-04-24,108
2018-04-25,108
2018-04-26,108
2018-04-27,108
2018-04-28,108
2018-04-29,108
2018-04-30,108
2018-05-02,108
2018-05-03,108
2018-05-04,108
2018-05-05,108
2018-05-06,108
2018-05-08,108
2018-05-09,108
2018-05-10,108
2018-05-11,108
2018-05-12,108
2018-05-13,108
2018-05-14,108
2018-05-15,108
2018-05-16,108
2018-05-17,108
2018-05-18,108
2018-05-19,108
2018-05-20,108
2018-05-21,108
2018-05-22,108
2018-05-23,108
2018-05-24,108
2018-05-25,108
2018-05-26,108
2018-05-27,108
2018-05-28,108
2018-05-29,108
2018-05-30,108
2018-05-31,108
2018-06-01,108
2018-06-02,108
2018-06-03,108
2018-06-04,108
2018-06-05,108
2018-06-06,108
2018-06-07,108
2018-06-08,108
2018-06-09,108
2018-06-10,108
2018-06-11,108
2018-06-12,108
2018-06-13,108
2018-06-14,108
2018-06-15,108
2018-06-16,108
2018-06-17,108
2018-06-18,108
2018-06-19,108
2018-06-20,108
2018-06-21,108
2018-06-22,108
2018-06-23,108
