date_obj,Pie%20recipe%20book price
2015-03-26,12
2015-03-27,12
2015-03-28,12
2015-03-29,12
2015-03-30,12
2015-03-31,12
2015-04-01,12
2015-04-02,12
2015-04-03,12
2015-04-04,12
2015-04-05,12
2015-04-06,12
2015-04-07,12
2015-04-08,12
2015-04-09,12
2015-04-10,12
2015-04-11,12
2015-04-12,12
2015-04-13,12
2015-04-14,12
2015-04-15,12
2015-04-16,12
2015-04-17,12
2015-04-18,12
2015-04-19,12
2015-04-20,12
2015-04-21,12
2015-04-22,12
2015-04-23,12
2015-04-24,12
2015-04-25,12
2015-04-26,12
2015-04-27,12
2015-04-28,12
2015-04-29,12
2015-04-30,12
2015-05-01,12
2015-05-02,12
2015-05-03,12
2015-05-04,12
2015-05-05,12
2015-05-06,12
2015-05-07,12
2015-05-08,12
2015-05-09,12
2015-05-10,12
2015-05-11,12
2015-05-12,12
2015-05-13,12
2015-05-14,12
2015-05-15,12
2015-05-16,12
2015-05-17,12
2015-05-18,12
2015-05-19,12
2015-05-20,12
2015-05-21,12
2015-05-22,12
2015-05-23,12
2015-05-24,12
2015-05-25,12
2015-05-26,12
2015-05-27,12
2015-05-28,12
2015-05-29,12
2015-05-30,12
2015-05-31,12
2015-06-01,12
2015-06-02,12
2015-06-03,12
2015-06-04,12
2015-06-05,13
2015-06-06,13
2015-06-07,13
2015-06-08,13
2015-06-09,13
2015-06-10,13
2015-06-11,13
2015-06-12,13
2015-06-13,13
2015-06-14,13
2015-06-15,13
2015-06-16,13
2015-06-17,13
2015-06-18,13
2015-06-19,13
2015-06-20,13
2015-06-21,13
2015-06-22,13
2015-06-23,13
2015-06-24,13
2015-06-25,13
2015-06-26,13
2015-06-27,13
2015-06-28,13
2015-06-29,13
2015-06-30,13
2015-07-01,13
2015-07-02,13
2015-07-03,13
2015-07-04,13
2015-07-05,13
2015-07-06,13
2015-07-07,13
2015-07-08,13
2015-07-09,13
2015-07-10,13
2015-07-11,13
2015-07-12,13
2015-07-13,13
2015-07-14,13
2015-07-15,13
2015-07-16,13
2015-07-17,13
2015-07-18,13
2015-07-19,13
2015-07-20,13
2015-07-21,13
2015-07-22,13
2015-07-23,13
2015-07-24,13
2015-07-25,13
2015-07-26,13
2015-07-27,13
2015-07-28,13
2015-07-29,13
2015-07-30,13
2015-07-31,13
2015-08-01,13
2015-08-02,13
2015-08-03,13
2015-08-04,13
2015-08-05,13
2015-08-06,13
2015-08-07,13
2015-08-08,13
2015-08-09,13
2015-08-10,13
2015-08-11,13
2015-08-12,13
2015-08-13,13
2015-08-14,13
2015-08-15,13
2015-08-16,13
2015-08-17,13
2015-08-18,13
2015-08-19,13
2015-08-20,13
2015-08-21,13
2015-08-22,13
2015-08-23,13
2015-08-24,13
2015-08-25,13
2015-08-26,13
2015-08-27,13
2015-08-28,13
2015-08-29,13
2015-08-30,13
2015-08-31,13
2015-09-01,13
2015-09-02,13
2015-09-03,13
2015-09-04,13
2015-09-05,13
2015-09-06,13
2015-09-07,13
2015-09-08,13
2015-09-09,13
2015-09-10,13
2015-09-11,13
2015-09-12,13
2015-09-13,13
2015-09-14,13
2015-09-15,13
2015-09-16,13
2015-09-17,13
2015-09-18,13
2015-09-19,13
2015-09-20,13
2015-09-21,13
2015-09-22,13
2015-09-23,13
2015-09-24,13
2015-09-25,13
2015-09-27,13
2015-09-28,13
2015-09-29,13
2015-09-30,13
2015-10-05,14
2015-10-06,14
2015-10-07,14
2015-10-08,14
2015-10-09,14
2015-10-10,14
2015-10-11,14
2015-10-12,14
2015-10-13,14
2015-10-14,14
2015-10-15,14
2015-10-16,14
2015-10-17,14
2015-10-18,14
2015-10-19,14
2015-10-20,14
2015-10-22,14
2015-10-23,14
2015-10-24,14
2015-10-25,14
2015-10-26,14
2015-10-27,14
2015-10-29,14
2015-10-30,14
2015-10-31,14
2015-11-01,14
2015-11-02,14
2015-11-03,14
2015-11-04,14
2015-11-05,14
