date_obj,Raw%20mackerel price
2015-03-26,953
2015-03-27,953
2015-03-28,908
2015-03-29,908
2015-03-30,864
2015-03-31,864
2015-04-01,864
2015-04-02,821
2015-04-03,821
2015-04-04,781
2015-04-05,781
2015-04-06,781
2015-04-07,742
2015-04-08,742
2015-04-09,742
2015-04-10,704
2015-04-11,704
2015-04-12,670
2015-04-13,670
2015-04-14,670
2015-04-15,637
2015-04-16,637
2015-04-17,637
2015-04-18,607
2015-04-19,607
2015-04-20,607
2015-04-21,577
2015-04-22,577
2015-04-23,577
2015-04-24,549
2015-04-25,549
2015-04-26,549
2015-04-27,522
2015-04-28,522
2015-04-29,522
2015-04-30,497
2015-05-01,497
2015-05-02,473
2015-05-03,473
2015-05-04,473
2015-05-05,450
2015-05-06,450
2015-05-07,428
2015-05-08,428
2015-05-09,407
2015-05-10,407
2015-05-11,407
2015-05-12,387
2015-05-13,387
2015-05-14,387
2015-05-15,368
2015-05-16,368
2015-05-17,349
2015-05-18,349
2015-05-19,331
2015-05-20,331
2015-05-21,331
2015-05-22,331
2015-05-23,314
2015-05-24,314
2015-05-25,314
2015-05-26,299
2015-05-27,299
2015-05-28,286
2015-05-29,286
2015-05-30,271
2015-05-31,271
2015-06-01,258
2015-06-02,258
2015-06-03,258
2015-06-04,245
2015-06-05,245
2015-06-06,233
2015-06-07,233
2015-06-08,233
2015-06-09,228
2015-06-10,228
2015-06-11,228
2015-06-12,219
2015-06-13,219
2015-06-14,213
2015-06-15,213
2015-06-16,213
2015-06-17,209
2015-06-18,209
2015-06-19,209
2015-06-20,198
2015-06-21,198
2015-06-22,198
2015-06-23,188
2015-06-24,188
2015-06-25,188
2015-06-26,178
2015-06-27,178
2015-06-28,178
2015-06-29,178
2015-06-30,178
2015-07-01,178
2015-07-02,175
2015-07-03,175
2015-07-04,171
2015-07-05,171
2015-07-06,171
2015-07-07,165
2015-07-08,165
2015-07-09,165
2015-07-10,161
2015-07-11,161
2015-07-12,161
2015-07-13,154
2015-07-14,154
2015-07-15,154
2015-07-16,154
2015-07-17,154
2015-07-18,154
2015-07-19,149
2015-07-20,149
2015-07-21,149
2015-07-22,141
2015-07-23,141
2015-07-24,134
2015-07-25,134
2015-07-26,134
2015-07-27,127
2015-07-28,127
2015-07-29,122
2015-07-30,122
2015-07-31,122
2015-08-01,116
2015-08-02,116
2015-08-03,112
2015-08-04,112
2015-08-05,112
2015-08-06,107
2015-08-07,107
2015-08-08,107
2015-08-09,103
2015-08-10,103
2015-08-11,103
2015-08-12,100
2015-08-13,100
2015-08-14,100
2015-08-15,97
2015-08-16,97
2015-08-17,97
2015-08-18,96
2015-08-19,96
2015-08-20,96
2015-08-21,94
2015-08-22,94
2015-08-23,94
2015-08-24,99
2015-08-25,99
2015-08-26,99
2015-08-27,104
2015-08-28,104
2015-08-29,104
2015-08-30,100
2015-08-31,100
2015-09-01,100
2015-09-02,97
2015-09-03,97
2015-09-04,97
2015-09-05,95
2015-09-06,95
2015-09-07,95
2015-09-08,92
2015-09-09,92
2015-09-10,92
2015-09-11,91
2015-09-12,91
2015-09-13,91
2015-09-14,88
2015-09-15,88
2015-09-16,88
2015-09-17,88
2015-09-18,88
2015-09-19,88
2015-09-20,88
2015-09-21,85
2015-09-22,85
2015-09-23,85
2015-09-24,88
2015-09-25,88
2015-09-27,90
2015-09-28,90
2015-09-29,90
2015-09-30,88
2015-10-05,87
2015-10-06,87
2015-10-07,90
2015-10-08,90
2015-10-09,93
2015-10-10,93
2015-10-11,93
2015-10-12,95
2015-10-13,95
2015-10-14,95
2015-10-15,95
2015-10-16,93
2015-10-17,93
2015-10-18,93
2015-10-19,90
2015-10-20,90
2015-10-22,90
2015-10-23,89
2015-10-24,89
2015-10-25,89
2015-10-26,88
2015-10-27,88
2015-10-29,88
2015-10-30,85
2015-10-31,85
2015-11-01,85
2015-11-02,84
2015-11-03,84
2015-11-04,84
2015-11-05,84
2015-11-06,82
2015-11-07,82
2015-11-08,82
2015-11-09,83
2015-11-10,83
2015-11-11,83
2015-11-12,82
2015-11-13,82
2015-11-14,82
2015-11-15,82
2015-11-16,79
2015-11-17,79
2015-11-18,79
2015-11-19,75
2015-11-20,75
2015-11-21,75
2015-11-22,73
2015-11-23,73
2015-11-24,73
