date_obj,Topaz%20bolt%20tips price
2015-03-26,38
2015-03-27,38
2015-03-28,38
2015-03-29,38
2015-03-30,38
2015-03-31,38
2015-04-01,38
2015-04-02,38
2015-04-03,36
2015-04-04,36
2015-04-05,36
2015-04-06,36
2015-04-07,36
2015-04-08,36
2015-04-09,36
2015-04-10,36
2015-04-11,36
2015-04-12,36
2015-04-13,36
2015-04-14,36
2015-04-15,36
2015-04-16,36
2015-04-17,36
2015-04-18,36
2015-04-19,36
2015-04-20,36
2015-04-21,36
2015-04-22,36
2015-04-23,36
2015-04-24,34
2015-04-25,34
2015-04-26,34
2015-04-27,34
2015-04-28,34
2015-04-29,34
2015-04-30,34
2015-05-01,34
2015-05-02,34
2015-05-03,34
2015-05-04,34
2015-05-05,34
2015-05-06,34
2015-05-07,34
2015-05-08,34
2015-05-09,34
2015-05-10,34
2015-05-11,34
2015-05-12,34
2015-05-13,34
2015-05-14,34
2015-05-15,34
2015-05-16,34
2015-05-17,34
2015-05-18,34
2015-05-19,34
2015-05-20,34
2015-05-21,34
2015-05-22,32
2015-05-23,32
2015-05-24,32
2015-05-25,32
2015-05-26,32
2015-05-27,32
2015-05-28,32
2015-05-29,32
2015-05-30,32
2015-05-31,32
2015-06-01,32
2015-06-02,32
2015-06-03,32
2015-06-04,32
2015-06-05,32
2015-06-06,32
2015-06-07,32
2015-06-08,32
2015-06-09,32
2015-06-10,30
2015-06-11,30
2015-06-12,30
2015-06-13,30
2015-06-14,30
2015-06-15,30
2015-06-16,30
2015-06-17,30
2015-06-18,30
2015-06-19,30
2015-06-20,30
2015-06-21,30
2015-06-22,30
2015-06-23,30
2015-06-24,30
2015-06-25,30
2015-06-26,30
2015-06-27,30
2015-06-28,30
2015-06-29,30
2015-06-30,30
2015-07-01,29
2015-07-02,29
2015-07-03,29
2015-07-04,29
2015-07-05,29
2015-07-06,29
2015-07-07,29
2015-07-08,29
2015-07-09,29
2015-07-10,29
2015-07-11,29
2015-07-12,29
2015-07-13,29
2015-07-14,29
2015-07-15,29
2015-07-16,29
2015-07-17,29
2015-07-18,29
2015-07-19,29
2015-07-20,29
2015-07-21,29
2015-07-22,29
2015-07-23,29
2015-07-24,29
2015-07-25,29
2015-07-26,29
2015-07-27,29
2015-07-28,29
2015-07-29,29
2015-07-30,29
2015-07-31,29
2015-08-01,29
2015-08-02,29
2015-08-03,29
2015-08-04,29
2015-08-05,29
2015-08-06,29
2015-08-07,29
2015-08-08,29
2015-08-09,29
2015-08-10,29
2015-08-11,29
2015-08-12,29
2015-08-13,31
2015-08-14,31
2015-08-15,31
2015-08-16,31
2015-08-17,31
2015-08-18,31
2015-08-19,31
2015-08-20,31
2015-08-21,31
2015-08-22,31
2015-08-23,31
2015-08-24,31
2015-08-25,31
2015-08-26,31
2015-08-27,31
2015-08-28,31
2015-08-29,31
2015-08-30,31
2015-08-31,31
2015-09-01,31
2015-09-02,31
2015-09-03,31
2015-09-04,31
2015-09-05,31
2015-09-06,31
2015-09-07,30
2015-09-08,30
2015-09-09,30
2015-09-10,30
2015-09-11,30
2015-09-12,30
2015-09-13,30
2015-09-14,30
2015-09-15,30
2015-09-16,30
2015-09-17,30
2015-09-18,30
2015-09-19,30
2015-09-20,30
2015-09-21,30
2015-09-22,30
2015-09-23,30
2015-09-24,30
2015-09-25,30
2015-09-27,30
2015-09-28,30
2015-09-29,30
2015-09-30,30
2015-10-05,29
2015-10-06,29
2015-10-07,29
2015-10-08,29
2015-10-09,29
2015-10-10,29
2015-10-11,29
2015-10-12,29
2015-10-13,29
2015-10-14,29
2015-10-15,29
2015-10-16,29
2015-10-17,29
2015-10-18,29
2015-10-19,29
2015-10-20,29
