date_obj,Rocking%20chair%20(flatpack) price
2015-03-05,150
2015-03-06,150
2015-03-07,150
2015-03-08,150
2015-03-09,150
2015-03-10,150
2015-03-11,150
2015-03-12,150
2015-03-13,150
2015-03-14,150
2015-03-15,150
2015-03-16,150
2015-03-17,142
2015-03-18,142
2015-03-19,142
2015-03-20,142
2015-03-21,142
2015-03-22,142
2015-03-23,142
2015-03-24,142
2015-03-25,142
2015-03-26,142
2015-03-27,142
2015-03-28,142
2015-03-29,142
2015-03-30,142
2015-03-31,142
2015-04-01,142
2015-04-02,142
2015-04-03,142
2015-04-04,142
2015-04-05,142
2015-04-06,134
2015-04-07,134
2015-04-08,134
2015-04-09,134
2015-04-10,134
2015-04-11,134
2015-04-12,134
2015-04-13,134
2015-04-14,134
2015-04-15,134
2015-04-16,134
2015-04-17,134
2015-04-18,134
2015-04-19,134
2015-04-20,134
2015-04-21,134
2015-04-22,134
2015-04-23,127
2015-04-24,127
2015-04-25,127
2015-04-26,127
2015-04-27,127
2015-04-28,127
2015-04-29,127
2015-04-30,127
2015-05-01,127
2015-05-02,127
2015-05-03,127
2015-05-04,127
2015-05-05,127
2015-05-06,127
2015-05-07,127
2015-05-08,127
2015-05-09,127
2015-05-10,120
2015-05-11,120
2015-05-12,120
2015-05-13,120
2015-05-14,120
2015-05-15,120
2015-05-16,120
2015-05-17,120
2015-05-18,120
2015-05-19,120
2015-05-20,120
2015-05-21,120
2015-05-22,120
2015-05-23,120
2015-05-24,120
2015-05-25,120
2015-05-26,120
2015-05-27,120
2015-05-28,114
2015-05-29,114
2015-05-30,114
2015-05-31,114
2015-06-01,114
2015-06-02,114
2015-06-03,114
2015-06-04,114
2015-06-05,114
2015-06-06,108
2015-06-07,108
2015-06-08,108
2015-06-09,108
2015-06-10,108
2015-06-11,108
2015-06-12,108
2015-06-13,108
2015-06-14,108
2015-06-15,108
2015-06-16,102
2015-06-17,102
2015-06-18,102
2015-06-19,102
2015-06-20,102
2015-06-21,102
2015-06-22,102
2015-06-23,102
2015-06-24,102
2015-06-25,102
2015-06-26,96
2015-06-27,96
2015-06-28,96
2015-06-29,96
2015-06-30,96
2015-07-01,96
2015-07-02,96
2015-07-03,96
2015-07-04,96
2015-07-05,96
2015-07-06,96
2015-07-07,96
2015-07-08,96
2015-07-09,96
2015-07-10,96
2015-07-11,96
2015-07-12,92
2015-07-13,92
2015-07-14,92
2015-07-15,92
2015-07-16,92
2015-07-17,92
2015-07-18,92
2015-07-19,92
2015-07-20,92
2015-07-21,92
2015-07-22,92
2015-07-23,92
2015-07-24,87
2015-07-25,87
2015-07-26,87
2015-07-27,87
2015-07-28,87
2015-07-29,87
2015-07-30,87
2015-07-31,87
2015-08-01,87
2015-08-02,87
2015-08-03,87
2015-08-04,82
2015-08-05,82
2015-08-06,82
2015-08-07,82
2015-08-08,82
2015-08-09,82
2015-08-10,82
2015-08-11,82
2015-08-12,82
2015-08-13,82
2015-08-14,82
2015-08-15,78
2015-08-16,78
2015-08-17,78
2015-08-18,78
2015-08-19,78
2015-08-20,78
2015-08-21,78
2015-08-22,78
2015-08-23,78
2015-08-24,78
2015-08-25,78
2015-08-26,78
2015-08-27,75
2015-08-28,75
2015-08-29,75
2015-08-30,75
2015-08-31,75
2015-09-02,75
2015-09-07,75
2015-09-08,75
2015-09-10,75
2015-09-14,71
2015-09-16,71
2015-09-22,71
2015-09-23,71
2015-09-24,71
2015-09-25,71
2015-09-27,71
