date_obj,Goblin%20book price
2015-03-05,2
2015-03-06,2
2015-03-07,1
2015-03-08,1
2015-03-09,1
2015-03-10,1
2015-03-11,2
2015-03-12,2
2015-03-13,2
2015-03-14,2
2015-03-15,3
2015-03-16,3
2015-03-17,3
2015-03-18,2
2015-03-19,2
2015-03-20,2
2015-03-21,2
2015-03-22,2
2015-03-23,2
2015-03-24,2
2015-03-25,2
2015-03-26,1
2015-03-27,1
2015-03-28,1
2015-03-29,1
2015-03-30,1
2015-03-31,1
2015-04-01,1
2015-04-02,1
2015-04-03,1
2015-04-04,1
2015-04-05,1
2015-04-06,1
2015-04-07,1
2015-04-08,1
2015-04-09,1
2015-04-10,1
2015-04-11,1
2015-04-12,1
2015-04-13,2
2015-04-14,2
2015-04-15,2
2015-04-16,2
2015-04-17,3
2015-04-18,3
2015-04-19,3
2015-04-20,3
2015-04-21,4
2015-04-22,4
2015-04-23,4
2015-04-24,4
2015-04-25,5
2015-04-26,5
2015-04-27,5
2015-04-28,6
2015-04-29,6
2015-04-30,6
2015-05-01,6
2015-05-02,6
2015-05-03,7
2015-05-04,7
2015-05-05,7
2015-05-06,8
2015-05-07,8
2015-05-08,8
2015-05-09,8
2015-05-10,9
2015-05-11,9
2015-05-12,9
2015-05-13,9
2015-05-14,10
2015-05-15,10
2015-05-16,10
2015-05-17,10
2015-05-18,10
2015-05-19,10
2015-05-20,10
2015-05-21,10
2015-05-22,10
2015-05-23,10
2015-05-24,10
2015-05-25,10
2015-05-26,10
2015-05-27,10
2015-05-28,10
2015-05-29,11
2015-05-30,12
2015-05-31,12
2015-06-01,13
2015-06-02,13
2015-06-03,14
2015-06-04,14
2015-06-05,15
2015-06-06,16
2015-06-07,16
2015-06-08,16
2015-06-09,17
2015-06-10,18
2015-06-11,18
2015-06-12,19
2015-06-13,19
2015-06-14,20
2015-06-15,20
2015-06-16,21
2015-06-17,21
2015-06-18,23
2015-06-19,23
2015-06-20,25
2015-06-21,25
2015-06-22,27
2015-06-23,27
2015-06-24,29
2015-06-25,29
2015-06-26,31
2015-06-27,31
2015-06-28,31
2015-06-29,33
2015-06-30,33
2015-07-01,34
2015-07-02,34
2015-07-03,34
2015-07-04,33
2015-07-05,33
2015-07-06,33
2015-07-07,34
2015-07-08,34
2015-07-09,34
2015-07-10,36
2015-07-11,36
2015-07-12,36
2015-07-13,37
2015-07-14,37
2015-07-15,37
2015-07-16,39
2015-07-17,39
2015-07-18,39
2015-07-19,41
2015-07-20,41
2015-07-21,41
2015-07-22,44
2015-07-23,44
2015-07-24,44
2015-07-25,44
2015-07-26,47
2015-07-27,47
2015-07-28,47
2015-07-29,48
2015-07-30,48
2015-07-31,51
2015-08-01,51
2015-08-02,51
2015-08-03,51
2015-08-04,52
2015-08-05,52
2015-08-06,55
2015-08-07,55
2015-08-08,56
2015-08-09,56
2015-08-10,55
2015-08-11,55
2015-08-12,55
2015-08-13,57
2015-08-14,57
2015-08-15,57
2015-08-16,60
2015-08-17,60
2015-08-18,60
2015-08-19,63
2015-08-20,63
2015-08-21,67
2015-08-22,67
2015-08-23,67
2015-08-24,71
2015-08-25,71
2015-08-26,71
2015-08-27,74
2015-08-28,74
2015-08-29,74
2015-08-30,77
2015-08-31,77
2015-09-01,77
2015-09-02,77
2015-09-07,81
2015-09-08,81
2015-09-10,84
2015-09-14,88
2015-09-16,92
2015-09-22,97
2015-09-23,97
2015-09-24,97
2015-09-25,97
2015-09-27,100
2015-09-28,100
2015-09-29,100
2015-09-30,101
2015-10-05,101
2015-10-06,101
2015-10-07,101
2015-10-08,106
2015-10-09,106
2015-10-10,106
2015-10-11,111
2015-10-12,111
2015-10-13,111
2015-10-14,111
2015-10-15,117
2015-10-16,117
2015-10-17,117
2015-10-18,122
2015-10-19,122
2015-10-20,122
2015-10-22,125
2015-10-23,125
2015-10-24,125
2015-10-25,131
2015-10-26,131
2015-10-27,131
2015-10-29,136
2015-10-30,136
2015-10-31,136
2015-11-01,136
2015-11-02,143
2015-11-03,143
2015-11-04,143
2015-11-05,143
2015-11-06,143
2015-11-07,150
2015-11-08,150
2015-11-09,150
2015-11-10,150
2015-11-11,150
2015-11-12,158
2015-11-13,158
2015-11-14,158
2015-11-15,158
2015-11-16,164
2015-11-17,164
2015-11-18,164
2015-11-19,164
2015-11-20,172
2015-11-21,172
2015-11-22,172
2015-11-23,172
2015-11-24,181
2015-11-25,181
2015-11-26,181
2015-11-27,185
2015-11-28,185
2015-11-29,185
2015-11-30,194
2015-12-01,194
2015-12-02,194
2015-12-03,194
2015-12-04,196
2015-12-05,196
2015-12-06,196
2015-12-07,196
2015-12-08,194
2015-12-09,194
2015-12-10,194
2015-12-11,196
2015-12-12,196
2015-12-13,196
2015-12-14,196
2015-12-15,196
2015-12-16,196
2015-12-17,196
2015-12-18,196
2015-12-19,196
2015-12-20,196
2015-12-21,196
2015-12-22,195
2015-12-23,195
2015-12-24,195
2015-12-25,194
2015-12-26,194
2015-12-27,194
2015-12-28,203
2015-12-29,203
2015-12-30,209
2015-12-31,209
2016-01-01,209
2016-01-02,218
2016-01-03,218
2016-01-04,218
2016-01-05,227
2016-01-06,227
2016-01-07,227
2016-01-08,236
2016-01-09,236
2016-01-10,241
2016-01-11,241
2016-01-12,246
2016-01-13,246
2016-01-14,248
2016-01-15,248
2016-01-16,248
2016-01-17,246
2016-01-18,246
2016-01-19,242
2016-01-20,242
2016-01-21,231
2016-01-22,231
2016-01-23,221
2016-01-24,221
2016-01-25,210
